,start,end,lenght,feature
0,326768,705848,379080,gene
1,326768,326939,171,mRNA
2,348382,348500,118,mRNA
3,432220,432460,240,mRNA
4,438894,439012,118,mRNA
5,495144,495329,185,mRNA
6,495604,495799,195,mRNA
7,547232,547363,131,mRNA
8,578872,578991,119,mRNA
9,579044,579217,173,mRNA
10,642100,642363,263,mRNA
11,673574,673836,262,mRNA
12,705374,705848,474,mRNA
13,432340,432460,120,CDS
14,438894,439012,118,CDS
15,495144,495329,185,CDS
16,495604,495799,195,CDS
17,547232,547363,131,CDS
18,578872,578991,119,CDS
19,579044,579217,173,CDS
20,642100,642363,263,CDS
21,673574,673836,262,CDS
22,705374,705445,71,CDS
23,854814,855571,757,gene
24,854814,854916,102,mRNA
25,854968,855571,603,mRNA
26,854872,854916,44,CDS
27,854968,855438,470,CDS
28,924636,951252,26616,gene
29,951127,951252,125,mRNA
30,949871,949946,75,mRNA
31,946776,946843,67,mRNA
32,929051,929292,241,mRNA
33,927356,927570,214,mRNA
34,927186,927297,111,mRNA
35,926972,927127,155,mRNA
36,926735,926902,167,mRNA
37,924636,926682,2046,mRNA
38,951127,951252,125,mRNA
39,929051,929292,241,mRNA
40,927356,927570,214,mRNA
41,927186,927297,111,mRNA
42,926972,927127,155,mRNA
43,926735,926902,167,mRNA
44,926097,926682,585,mRNA
45,951127,951252,125,mRNA
46,949871,949946,75,mRNA
47,927356,927570,214,mRNA
48,927186,927297,111,mRNA
49,926972,927127,155,mRNA
50,926735,926902,167,mRNA
51,926097,926682,585,mRNA
52,951127,951252,125,mRNA
53,949871,949946,75,mRNA
54,929051,929292,241,mRNA
55,927356,927570,214,mRNA
56,927186,927297,111,mRNA
57,926972,927127,155,mRNA
58,926735,926902,167,mRNA
59,926097,926682,585,mRNA
60,927781,927986,205,mRNA
61,927356,927570,214,mRNA
62,927186,927297,111,mRNA
63,926972,927127,155,mRNA
64,926735,926902,167,mRNA
65,926097,926682,585,mRNA
66,927356,927562,206,CDS
67,927186,927297,111,CDS
68,926972,927127,155,CDS
69,926735,926902,167,CDS
70,926519,926682,163,CDS
71,927356,927562,206,CDS
72,927186,927297,111,CDS
73,926972,927127,155,CDS
74,926735,926902,167,CDS
75,926519,926682,163,CDS
76,927356,927562,206,CDS
77,927186,927297,111,CDS
78,926972,927127,155,CDS
79,926735,926902,167,CDS
80,926519,926682,163,CDS
81,927356,927562,206,CDS
82,927186,927297,111,CDS
83,926972,927127,155,CDS
84,926735,926902,167,CDS
85,926519,926682,163,CDS
86,927356,927562,206,CDS
