,start,end,lenght,feature
0,879,5039,4160,gene
1,879,1079,200,mRNA
2,1144,1410,266,mRNA
3,1768,3851,2083,mRNA
4,4353,4527,174,mRNA
5,4592,4824,232,mRNA
6,4875,5039,164,mRNA
7,930,1079,149,CDS
8,1144,1410,266,CDS
9,1768,3851,2083,CDS
10,4353,4527,174,CDS
11,4592,4824,232,CDS
12,4875,4995,120,CDS
13,5057,5194,137,mobile_element
14,5464,5498,34,mobile_element
15,5829,11765,5936,gene
16,5829,6041,212,exon
17,6541,6723,182,exon
18,7745,8281,536,exon
19,8340,8675,335,exon
20,8730,11765,3035,exon
21,11838,11975,137,mobile_element
22,12245,12279,34,mobile_element
23,12640,25054,12414,gene
24,12640,12825,185,exon
25,13323,13505,182,exon
26,13649,20086,6437,mobile_element
27,20970,21553,583,exon
28,21612,21947,335,exon
29,22002,25054,3052,exon
30,25134,26234,1100,mobile_element
31,26248,26352,104,mobile_element
32,26625,26659,34,mobile_element
33,27020,31633,4613,gene
34,27020,27205,185,exon
35,27703,27885,182,exon
36,28907,29490,583,exon
37,29549,31633,2084,exon
38,31706,31843,137,mobile_element
39,32478,43778,11300,gene
40,42914,43778,864,mRNA
41,36516,41285,4769,mRNA
42,35874,36457,583,mRNA
43,33191,33373,182,mRNA
44,32478,33125,647,mRNA
45,42914,43778,864,mRNA
46,36516,41285,4769,mRNA
47,35874,36457,583,mRNA
48,33191,33373,182,mRNA
49,32812,33125,313,mRNA
50,42914,43424,510,CDS
51,36516,41285,4769,CDS
52,35874,36457,583,CDS
53,33191,33373,182,CDS
54,33018,33125,107,CDS
55,42914,43424,510,CDS
56,36516,41285,4769,CDS
57,35874,36457,583,CDS
58,33191,33373,182,CDS
59,33018,33125,107,CDS
60,33824,35293,1469,mobile_element
61,41514,42258,744,mobile_element
62,42505,42593,88,mobile_element
63,42774,43374,600,gene
64,42774,43157,383,ncRNA
65,43231,43374,143,ncRNA
66,44774,46074,1300,gene
67,44774,45417,643,ncRNA
68,45487,46074,587,ncRNA
69,46586,47456,870,mobile_element
70,47710,57041,9331,gene
71,56291,57041,750,mRNA
72,52017,52384,367,mRNA
73,51314,51954,640,mRNA
74,50745,51257,512,mRNA
75,50516,50680,164,mRNA
76,47710,50462,2752,mRNA
77,55831,56331,500,mRNA
78,52017,52384,367,mRNA
79,51314,51954,640,mRNA
80,50745,51257,512,mRNA
81,50516,50613,97,mRNA
82,47710,50462,2752,mRNA
83,55831,56331,500,mRNA
84,52017,52384,367,mRNA
85,51314,51954,640,mRNA
86,50745,51257,512,mRNA
87,50516,50680,164,mRNA
88,47710,50462,2752,mRNA
89,55831,55868,37,CDS
90,52017,52384,367,CDS
91,51314,51954,640,CDS
92,50745,51257,512,CDS
93,50516,50680,164,CDS
94,47994,50462,2468,CDS
95,52017,52068,51,CDS
96,51314,51954,640,CDS
97,50745,51257,512,CDS
98,50516,50680,164,CDS
99,47994,50462,2468,CDS
100,55831,55868,37,CDS
101,52017,52384,367,CDS
102,51314,51954,640,CDS
103,50745,51257,512,CDS
104,50516,50613,97,CDS
105,50402,50462,60,CDS
106,52731,52949,218,mobile_element
107,52953,53996,1043,mobile_element
108,53998,54348,350,mobile_element
109,54784,55394,610,mobile_element
110,56497,63124,6627,gene
111,56497,56549,52,ncRNA
112,57240,57411,171,ncRNA
113,59976,60415,439,ncRNA
114,62973,63124,151,ncRNA
115,56497,56549,52,ncRNA
116,57240,57411,171,ncRNA
117,59976,60415,439,ncRNA
118,60570,60974,404,ncRNA
119,61105,61251,146,mobile_element
120,62582,62684,102,mobile_element
121,63158,63380,222,mobile_element
122,64455,64611,156,mobile_element
123,65225,67207,1982,gene
124,66840,67207,367,mRNA
125,66105,66738,633,mRNA
126,66000,66049,49,mRNA
127,65225,65521,296,mRNA
128,65577,65645,68,gene
129,65577,65645,68,ncRNA
130,67048,67207,159,mRNA
131,66840,66991,151,mRNA
132,66197,66738,541,mRNA
133,66840,67207,367,mRNA
134,66197,66738,541,mRNA
135,66840,67180,340,CDS
136,66273,66738,465,CDS
137,66840,67180,340,CDS
138,66273,66738,465,CDS
139,67048,67086,38,CDS
140,66840,66991,151,CDS
141,66273,66738,465,CDS
142,69326,114270,44944,gene
