,start,end,lenght,feature
0,103614,107842,4228,mobile_element
1,107843,109755,1912,mobile_element
2,109756,114008,4252,mobile_element
3,114009,114046,37,mobile_element
4,114047,116407,2360,mobile_element
5,116408,116442,34,mobile_element
6,116443,116486,43,mobile_element
7,116487,122492,6005,mobile_element
8,122493,122706,213,gene
9,122493,122706,213,ncRNA
10,122739,122812,73,mobile_element
11,124065,124104,39,mobile_element
12,124198,124326,128,mobile_element
13,124370,126714,2344,gene
14,126626,126714,88,mRNA
15,125495,126259,764,mRNA
16,124370,125409,1039,mRNA
17,126626,126714,88,mRNA
18,126363,126496,133,mRNA
19,125495,126259,764,mRNA
20,124370,125409,1039,mRNA
21,126626,126714,88,mRNA
22,126355,126496,141,mRNA
23,125495,126259,764,mRNA
24,124370,125409,1039,mRNA
25,126626,126630,4,CDS
26,125495,126259,764,CDS
27,124464,125409,945,CDS
28,126363,126409,46,CDS
29,125495,126259,764,CDS
30,124464,125409,945,CDS
31,125495,126054,559,CDS
32,124464,125409,945,CDS
33,127449,140340,12891,gene
34,127449,127595,146,mRNA
35,128921,129417,496,mRNA
36,132807,133384,577,mRNA
37,133503,134127,624,mRNA
38,134266,134564,298,mRNA
39,134634,134760,126,mRNA
40,136055,136075,20,mRNA
41,136635,136733,98,mRNA
42,137256,138260,1004,mRNA
43,138322,138705,383,mRNA
44,138770,138930,160,mRNA
45,139067,139206,139,mRNA
46,139275,139524,249,mRNA
47,139585,140340,755,mRNA
48,127449,127595,146,mRNA
49,128921,129417,496,mRNA
50,132807,133384,577,mRNA
51,133503,134124,621,mRNA
52,134269,134564,295,mRNA
53,134634,134760,126,mRNA
54,136055,136075,20,mRNA
55,136635,136733,98,mRNA
56,137256,138260,1004,mRNA
57,138322,138705,383,mRNA
58,138770,138930,160,mRNA
59,139067,139206,139,mRNA
60,139275,139524,249,mRNA
61,139585,140340,755,mRNA
62,127453,127595,142,mRNA
63,128921,129417,496,mRNA
64,132807,133384,577,mRNA
65,133503,134127,624,mRNA
66,134269,134564,295,mRNA
